"Population1","Population2","Fst"
"FN","RN",0.00600747655980309
"FN","SW",0.00396383809851707
"FN","TX",0.0037380680509326
"FN","IR",0.0057829559498288
"FN","FR",0.0487158722110045
"FN","PL",0.0460243840439573
"FN","PO",0.0250013945921738
"FN","SL",0.115245047816806
"FN","IT",0.077813665995226
"FN","MK",0.089609156708456
"FN","TR",0.121462771416693
"FN","MT",0.098281092692444
"FN","NC",0.0770460294890217
"FN","MD",0.0563903687840453
"FN","IL",0.0911435388902993
"FN","MN",0.103257061302744
"RN","SW",0.00546628159322215
"RN","TX",0.00128484024245108
"RN","SL",0.0788090094034386
"RN","TR",0.0854395801389436
"SW","TX",0.00359674712831153
"SW","TR",0.120404297770075
"DK","FN",0.00469822379166489
"DK","RN",0.00136128499243711
"DK","SW",0.00280594680413085
"DK","TX",0.00285199680425659
"DK","IR",0.00535613893021909
"DK","FR",0.036812011908247
"DK","PL",0.0345774051679877
"DK","PO",0.017537269363396
"DK","SL",0.0970617884994895
"DK","IT",0.0632656792882548
"DK","MK",0.0737064031785571
"DK","TR",0.103044366752515
"DK","MT",0.0811972119589984
"DK","NC",0.0614142308101514
"DK","MD",0.0429915840357319
"DK","IL",0.0742909506802939
"DK","MN",0.0855133071499758
"IR","RN",0.00230927747123445
"IR","SW",0.0100995557318416
"IR","TX",0.00484026225561071
"IR","PL",0.0266866130563254
"IR","PO",0.0155554761364854
"IR","SL",0.0856064050126927
"IR","IT",0.0542069427076861
"IR","MK",0.0640694239965278
"IR","TR",0.092299276927856
"IR","MT",0.0707723977141955
"IR","NC",0.0509879731783442
"IR","MD",0.0345536380027561
"IR","MN",0.0736622452385655
"CS","FN",0.00244665287530299
"CS","RN",0.00692486849095778
"CS","SW",0.00413139181900833
"CS","DK",0.00582467985112441
"CS","TX",0.00346068383544953
"CS","IR",0.00664309726301383
"CS","FR",0.0473067264371921
"CS","PL",0.0457174777428458
"CS","PO",0.0267398696231592
"CS","SL",0.11335952930658
"CS","IT",0.0771994798155788
"CS","MK",0.0884240096865845
"CS","TR",0.119999961201045
"CS","MT",0.0968825172504358
"CS","NC",0.0749800222702174
"CS","MD",0.055087737010783
"CS","IL",0.0892914059619168
"CS","MN",0.101697191728244
"FR","RN",0.0252948750764782
"FR","SW",0.0484711223090693
"FR","TX",0.0302400308371446
"FR","IR",0.0297578984768641
"FR","PL",-0.00055139598348611
"FR","PO",0.0114988678921894
"FR","SL",0.0166299507389816
"FR","IT",0.00490051188764281
"FR","MK",0.00921744062778876
"FR","TR",0.020115961694752
"FR","MT",0.0123270939086295
"FR","NC",0.00486108784184994
"FR","MD",0.00475360833584611
"FR","IL",0.00962327257362702
"FR","MN",0.0136215437988154
"PL","RN",0.0232040985547618
"PL","SW",0.0474259017348721
"PL","TX",0.0289442772994676
"PL","PO",0.0104539097449319
"PL","SL",0.0180617940105557
"PL","TR",0.0221700515842166
"PO","RN",0.0109607343843713
"PO","SW",0.0251976076517334
"PO","TX",0.0119590080673124
"PO","SL",0.0459331087494226
"PO","TR",0.0513579210694684
"SL","SW",0.11427564287186
"SL","TX",0.086883396338335
"SL","TR",0.00206699854002521
"IT","RN",0.0482431025597315
"IT","SW",0.0774571179716333
"IT","TX",0.0538593863889994
"IT","PL",0.00533269028967828
"IT","PO",0.0193446435226263
"IT","SL",0.00490401533728648
"IT","MK",0.00178563578040716
"IT","TR",0.00997034271273127
"IT","MT",0.00377567353663361
"IT","NC",0.00169911734637439
"IT","MD",0.00548177067619266
"IT","MN",0.0030261466653948
"MK","RN",0.0579441246815534
"MK","SW",0.0888453241343694
"MK","TX",0.0647304183028096
"MK","PL",0.0100592274879336
"MK","PO",0.0289438716773658
"MK","SL",0.00318649514445783
"MK","TR",0.0058956837302113
"MK","MT",0.000990731644726152
"MK","NC",0.00507921979497797
"MK","MN",0.00360462532325093
"TR","TX",0.0924753578929285
"MT","RN",0.0647222238990312
"MT","SW",0.0976202122277583
"MT","TX",0.0730665033873542
"MT","PL",0.0126713478651186
"MT","PO",0.0357163175298965
"MT","SL",0.00357389707999216
"MT","TR",0.00854532585571221
"MT","NC",0.00469403666347481
"CA","FN",0.105815567132933
"CA","RN",0.0706330665087494
"CA","SW",0.104204443435042
"CA","DK",0.087436547682663
"CA","TX",0.0780987885220901
"CA","IR",0.076798129044566
"CA","CS",0.10391440870483
"CA","FR",0.0132804392976076
"CA","PL",0.0142643890838681
"CA","PO",0.0402044320513862
"CA","SL",0.00171179838926376
"CA","IT",0.00443512997096216
"CA","MK",0.00312649234680312
"CA","TR",0.00259734042220037
"CA","MT",0.00478651032218388
"CA","NC",0.00536897626758227
"CA","MD",0.0154191225574726
"CA","IL",0.00437075203877541
"CA","MN",0.00262748362249699
