"Population1","Population2","Fst"
"FN","RN",0.00305455197516089
"FN","SW",0.00441179340832748
"FN","TX",0.00249363101191675
"FN","IR",0.00412718520292575
"FN","FR",0.0422025120611025
"FN","PL",0.0488406368716713
"FN","PO",0.0268817518272467
"FN","SL",0.132999499270335
"FN","IT",0.098546722100531
"FN","MK",0.112481542629516
"FN","TR",0.136564781389531
"FN","MT",0.12170439112746
"FN","NC",0.10468195354711
"FN","MD",0.0900711024887996
"FN","IL",0.0931377627451448
"FN","MN",0.115333641993878
"RN","SW",0.0025229065380561
"RN","TX",0.00164116642643099
"RN","SL",0.11862182269808
"RN","TR",0.122361022278109
"SW","TX",0.00244649952482467
"SW","TR",0.135082347755676
"DK","FN",0.00530674425077084
"DK","RN",0.000638029958226926
"DK","SW",0.0032051199588631
"DK","TX",0.00339526778695853
"DK","IR",0.00607888003850091
"DK","FR",0.0316045016266212
"DK","PL",0.036544230251493
"DK","PO",0.0178442384639602
"DK","SL",0.112525909798624
"DK","IT",0.0810399142024606
"DK","MK",0.0935728692868608
"DK","TR",0.115988266483457
"DK","MT",0.101338698507278
"DK","NC",0.0854655188702115
"DK","MD",0.0712751221206071
"DK","IL",0.0744667904942928
"DK","MN",0.0954551301977457
"IR","RN",0.00390297975608312
"IR","SW",0.00980233733949615
"IR","TX",0.00678219770676262
"IR","PL",0.0400922980050247
"IR","PO",0.0253839102452322
"IR","SL",0.120238212812346
"IR","IT",0.0883138049261565
"IR","MK",0.101251859934753
"IR","TR",0.124554447554534
"IR","MT",0.109184836877458
"IR","NC",0.0923133824555985
"IR","MD",0.0785145196168186
"IR","MN",0.102437510989623
"CS","FN",0.00272492325939958
"CS","RN",0.00472021952507068
"CS","SW",0.00459855197148323
"CS","DK",0.00655717356912027
"CS","TX",0.00240792503235655
"CS","IR",0.00533077809200316
"CS","FR",0.0408317672607647
"CS","PL",0.0484400142690714
"CS","PO",0.0290094412883179
"CS","SL",0.130904469117913
"CS","IT",0.0978854846388161
"CS","MK",0.111155571431194
"CS","TR",0.134813135568281
"CS","MT",0.119465856793649
"CS","NC",0.102239080265936
"CS","MD",0.0882478857468837
"CS","IL",0.0908774716868937
"CS","MN",0.11380206122058
"FR","RN",0.0336344190861452
